Name,Num Cards,Handtrap,Starter,Extender,Maxx C Counter,Normal Summon,Soft GarnetGarnet
Despian Tragedy,1
"Maxx ""C""",2
Ash Blossom & Joyous Spring,3
Fallen of Albaz,3
Aluber the Jester of Despia,3
Tri-Brigade Mercourier,1
Springans Kitt,1
"Blazing Cartesia, the Virtuous",2
"Guiding Quem, the Virtuous",2
Bystial Magnamhut,1
Bystial Saronir,3
Albion the Shrouded Dragon,2
The Bystial Lubellion,1
Foolish Burial,1
Gold Sarcophagus,2
That Grass Looks Greener,1
Fusion Deployment,3
Triple Tactics Talent,1
Branded in White,1
Branded Fusion,1
Triple Tactics Thrust,3
Branded Lost,1
Super Polymerization,3
Called by the Grave,2
Crossout Designator,1
Forbidden Droplet,3
Branded Opening,3
Branded in High Spirits,3
Branded in Red,1
Branded Sword,1
Branded Banishment,1
Fusion Duplication,1
Branded Retribution,2

Extra Deck
Name,Num Cards
Mudragon of the Swamp,1
"Garura, Wings of Resonant Life",1
Predaplant Dragostapelia,1
Titaniklad the Ash Dragon,1
Albion the Branded Dragon,1
Despian Quaeritis,1
Masquerade the Blazing Dragon,1
Mirorjade the Iceblade Dragon,1
Lubelion the Searing Dragon,1
Alba-Lenatus the Abyss Dragon,1
Granguignol the Dusk Dragon,1
Rindbrumm the Striking Dragon,1
Albion the Sanctifire Dragon,1
Khaos Starsource Dragon,1
Predaplant Verte Anaconda,1
