Name,Num Cards,Handtrap,Starter,Extender,Maxx C Counter,Normal Summon,Soft GarnetGarnet
Fabled Lurrie,1
"Maxx ""C""",2
Astellar of the White Forest,1
Elzette of the White Forest,3
"Elzette, Azamina of the White Forest",1
Ash Blossom & Joyous Spring,3
Silvy of the White Forest,3
Rucia of the White Forest,1
Bystial Magnamhut,1
Bystial Druiswurm,1
Golem that Guards the Millennium Treasures,1
Fiendsmith Engraver,2
Diabellstar the Black Witch,1
Sengenjin Wakes from a Millennium,3
Triple Tactics Talent,1
Tales of the White Forest,2
Fiendsmith's Tract,1
The Hallowed Azamina,1
Wedju Temple,1
Deception of the Sinful Spoils,1
Called by the Grave,2
Crossout Designator,1
WANTED: Seeker of Sinful Spoils,1
Infinite Impermanence,3
Sinful Spoils of Slumber - Morrian,1
Woes of the White Forest,1

Extra Deck
Name,Num Cards
Fiendsmith's Lacrima,1
Azamina Ilia Silvia,1
Azamina Mu Rcielago,1
Snake-Eyes Doomed Dragon,1
"Silvera, Wolf Tamer of the White Forest",1
"Rciela, Sinister Soul of the White Forest",1
"Diabell, Queen of the White Forest",1
Baronne de Fleur,1
Constellar Ptolemy M7,1
Fiendsmith's Requiem,1
Spright Sprind,1
SP Little Knight,1
Moon of the Closed Heaven,1
Fiendsmith's Sequence,1
"Apollousa, Bow of the Goddess",1
