Name,Num Cards,Handtrap,Starter,Extender,Maxx C Counter,Normal Summon,Soft GarnetGarnet
White Duston,1
"Clavkiys, the Magikey Skyblaster",1
Fabled Lurrie,1
Effect Veiler,3
Droll & Lock Bird,3
"Maxx ""C""",2
Ghost Ogre & Snow Rabbit,3
Ash Blossom & Joyous Spring,3
Orcust Cymbal Skeleton,1
Orcust Harp Horror,1
"Girsu, the Orcust Mekk-Knight",1
Primite Dragon Ether Beryl,3
Bystial Magnamhut,1
Bystial Saronir,3
Bystial Druiswurm,3
Bystial Baldrake,1
Golem that Guards the Millennium Treasures,3
Fiendsmith Engraver,2
Fantastical Dragon Phantazmay,3
Orcust Knightmare,1
The Bystial Lubellion,3
Sengenjin Wakes from a Millennium,3
Fiendsmith's Tract,3
Orcustrated Babel,1
Wedju Temple,1
Branded Regained,1
Primite Lordly Lode,3
Primite Roar,1
Primite Drillbeam,1
Infinite Impermanence,3

Extra Deck
Name,Num Cards
Fiendsmith's Lacrima,1
Necroquip Princess,1
Snake-Eyes Doomed Dragon,1
Constellar Ptolemy M7,1
Dingirsu. the Orcust of the Evening S,1
Super Starslayer TY-PHON - Sky Crisis,1
Knightmare Mermaid,1
Fiendsmith's Requiem,1
Knightmare Phoenix,1
Galatea: the Orcust Automaton,1
I:P Masquerena,1
SP Little Knight,1
Moon of the Closed Heaven,1
Fiendsmith's Sequence,1
"Apollousa, Bow of the Goddess",1
