Name,Num Cards,Handtrap,Starter,Extender,Garnet
Fabled Lurrie,1
Droll & Lock Bird,3
"Maxx ""C""",2
Tour Guide From the Underworld,3
Fiendish Rhino Warrior,1
Unchained Twins - Aruha,3
Unchained Twins - Rakea,1
Unchained Twins - Sarama,1
Mulcharmy Fuwalos,3
Unchained Soul of Sharvara,3
Unchained Soul of Shyama,1
Fiendsmith Engraver,2
Abominable Unchained Soul,1
Heavy Storm,1
Abomination's Prison,3
Triple Tactics Talent,3
Triple Tactics Thrust,3
Fiendsmith's Tract,3
Called by the Grave,2
Crossout Designator,1
Dimensional Barrier,1
Escape of the Unchained,3
Abominable Chamber of the Unchained,3

Extra Deck
Name,Num Cards
Necroquip Princess,1
Aerial Eater,1
Fiendsmith's Desirae,1
D/D/D Wave High King Caesar,1
Fiendsmith's Requiem,1
Unchained Soul of Rage,2
Unchained Soul Lord of Yama,2
SP Little Knight,1
Moon of the Closed Heaven,1
Fiendsmith's Sequence,1
Unchained Soul of Anguish,1
Unchained Abomination,1
Underworld Goddess of the Closed World,1
