Name,Num Cards,Handtrap,Starter,Extender,Maxx C Counter,Normal Summon,Soft GarnetGarnet
"Maxy ""C""",3
Claukivs thc Macikey Slhlaster,1
Esbled Lurric,1
Efectleiler,3
Ghest Oarc & Sc Pabbit,3
Ach Rloss   & Icucus Srrico,3
OrcustCubal Skeletor,1
OrcustHar- Hortor,1
Gircu thc OrcustMelh_Kricbt,1
Driritc Dricc  Ethor Roryl,3
Rustisl Macranbut,1
Rustisl Sarorir,3
Rustisl Druic uurs,3
Rustisl Rldrake,1
Gelenthat Guardctbe Milerzinn Troa,3
Fiordcnith Encriver,2
Eantasticel Drac _ Dhantznzy,3
OrcustKrichtniare,1
"""Tho Ructizl Lukallic",3
Sorcerin Wakec frn > Millerrint,3
"""Tricle Tacticc Talent",3
Fiordcnitk'- Tract,3
Orcustrated Rabel,1
edlin Tariclc,1
Rranded Dexzined,1
Dririte |ordlu !ede,3
Dririte Poar,1
Drimite Drilkez,1
Unfinite Incornuiccrco,3

Extra Deck
Name,Num Cards
Fiordcnitk'- lecrints,1
